sentence, cat
output sign,print,sign
output signal,print,signal
output signals,print,signals
output signs,print,signs
output silence,print,silence
output silent,print,silent
output silk,print,silk
output silly,print,silly
output silver,print,silver
output similar,print,similar
output simple,print,simple
output simplest,print,simplest
output simply,print,simply
output since,print,since
output sing,print,sing
output singing,print,singing
output single,print,single
output sink,print,sink
output sir,print,sir
output sister,print,sister
output sisters,print,sisters
output sit,print,sit
output sitting,print,sitting
output situation,print,situation
output six,print,six
output size,print,size
output sizes,print,sizes
output skill,print,skill
output skills,print,skills
output skin,print,skin
output skins,print,skins
output sky,print,sky
output slabs,print,slabs
output slave,print,slave
output sleep,print,sleep
output sleeping,print,sleeping
output slept,print,slept
output slide,print,slide
output slight,print,slight
output slightly,print,slightly
output slip,print,slip
output slipped,print,slipped
output slope,print,slope
output slow,print,slow
output slowly,print,slowly
output small,print,small
output smaller,print,smaller
output smell,print,smell
output smile,print,smile
output smiled,print,smiled
output smith,print,smith
output smoke,print,smoke
output smooth,print,smooth
output snake,print,snake
output snakes,print,snakes
output snow,print,snow
output so,print,so
output soap,print,soap
output social,print,social
output society,print,society
output soft,print,soft
output softly,print,softly
output soil,print,soil
output solar,print,solar
output sold,print,sold
output soldier,print,soldier
output soldiers,print,soldiers
output solid,print,solid
output solution,print,solution
output solve,print,solve
output some,print,some
output somebody,print,somebody
output somehow,print,somehow
output someone,print,someone
output something,print,something
output sometimes,print,sometimes
output somewhat,print,somewhat
output somewhere,print,somewhere
output son,print,son
output song,print,song
output songs,print,songs
output soon,print,soon
output sorry,print,sorry
output sort,print,sort
output sound,print,sound
output sounded,print,sounded
output sounds,print,sounds
output source,print,source
output sources,print,sources
output south,print,south
output southern,print,southern
output space,print,space
output spaces,print,spaces
output spain,print,spain
output spanish,print,spanish
output speak,print,speak
output speaking,print,speaking
output special,print,special
output species,print,species
output specific,print,specific
output speech,print,speech
output speed,print,speed
output spell,print,spell
output spelled,print,spelled
output spelling,print,spelling
output spend,print,spend
output spent,print,spent
output spider,print,spider
output spin,print,spin
output spirit,print,spirit
output spite,print,spite
output split,print,split
output spoke,print,spoke
output spoken,print,spoken
output sports,print,sports
output spot,print,spot
output spots,print,spots
output spread,print,spread
output spring,print,spring
output square,print,square
output squares,print,squares
output stage,print,stage
output stairs,print,stairs
output stand,print,stand
output standard,print,standard
output standing,print,standing
output stands,print,stands
output star,print,star
output stared,print,stared
output stars,print,stars
output start,print,start
output started,print,started
output starting,print,starting
output starts,print,starts
output state,print,state
output stated,print,stated
output statement,print,statement
output statements,print,statements
output states,print,states
output station,print,station
output stay,print,stay
output stayed,print,stayed
output steady,print,steady
output steam,print,steam
output steel,print,steel
output steep,print,steep
output stems,print,stems
output step,print,step
output stepped,print,stepped
output steps,print,steps
output stick,print,stick
output sticks,print,sticks
output stiff,print,stiff
output still,print,still
output stock,print,stock
output stomach,print,stomach
output stone,print,stone
output stones,print,stones
output stood,print,stood
output stop,print,stop
output stopped,print,stopped
